id,title,type,fileName,filePath,sourceType,sourceUrl,creator,rightsStatus,aiGenerated,aiModel,canonStatus,reviewStatus,riskFlags,tags,relatedArchiveRecords,relatedProjects,relatedTasks,importBatch,notes
"artifact.alien-principle","Alien Cosmology: The Underpinnings of Occurrence","prose","alien principle.txt","Archive/Prose/alien principle.txt","internal-file","","","owned-internal","","","strong-direction","reviewed","","alien-principles | foundation | cosmology","foundation | zynarth | voltari | zendra","EGGS ecosystem","FND-05 | ALN-05","batch.foundation-prose","Primary source for the grammar-of-occurrence framing."
"artifact.bizi-constantinople","Bizi Constantinople Reference","image","Steampunk_constantinople_in_sepiaa.webp","Archive/Art/Bizi/Places/Steampunk_constantinople_in_sepiaa.webp","archive-file","","","unknown-needs-review","true","","flexible-inspiration","needs-rights","real-world-religious-architecture | unknown-provenance","bizi | place | visual-reference","bizi","Reath","ART-04 | PRV-01 | PRV-03","batch.visual-sample","Internal reference only until rights and transformation review."
"artifact.bizi-source","What Are Bizi","prose","what are bizi.txt","Archive/Prose/what are bizi.txt","internal-file","","","owned-internal","","","flexible-inspiration","rewrite-queued","historical-transcription","bizi | mortal-expression | sacred-infrastructure","bizi","Reath","CIV-01 | CIV-04","batch.civilization-prose","Preserve sacred infrastructure; transform Byzantine analogy."
"artifact.competitive-circuit","Introduction to Competitive Circuit","pdf","INTRODUCTION to Competetive circuit (2).pdf","Archive/Prose/INTRODUCTION to Competetive circuit (2).pdf","internal-file","","","owned-internal","","","experimental","risky-needs-review","paid-advancement | unsupported-legal-claims | monetization","product-strategy | competitive-circuit | XP","competitive-circuit | para-poker","Para | Para Poker","PPR-02 | PPR-04 | LGL-01 | DEC-10","batch.strategy-documents","Must not guide implementation in current form."
"artifact.ethics-codex","Paralleon Designer Ethics Codex","pdf","THE EGGS MS WHOLISTIC DESIGNER ETHICS CODEX.pdf","Archive/Prose/THE EGGS MS WHOLISTIC DESIGNER ETHICS CODEX.pdf","internal-file","","","owned-internal","","","strong-direction","operationalization-needed","policy-practice-contradiction","ethics | guardrails | historical-distance","ethics-codex | foundation","EGGS ecosystem","HIS-02 | LGL-05","batch.strategy-documents","Durable direction; needs operational checks."
"artifact.frumo-place","Frozen Frumo City Reference","image","frumo.png","Archive/Art/Frumo/Places/frumo.png","archive-file","","","unknown-needs-review","true","","flexible-inspiration","needs-provenance","unknown-provenance","frumo | place | visual-reference","frumo","Reath","ART-01 | PRV-01 | PRV-02","batch.visual-sample","Mood reference; not canonical depiction."
"artifact.frumo-source","What Are Frumo","prose","what are frumo.txt","Archive/Prose/what are frumo.txt","internal-file","","","owned-internal","","","flexible-inspiration","rewrite-queued","historical-transcription","frumo | mortal-expression | grief-economy","frumo","Reath","CIV-03 | HIS-01","batch.civilization-prose","Preserve emotional weather; transform French Revolutionary transcription."
"artifact.mdp","EGGS Minimum Deliverable Product Guide","pdf","EGGS MDP (1).pdf","Archive/Prose/EGGS MDP (1).pdf","internal-file","","","owned-internal","","","experimental","classified","product-canon-mixing","product-strategy | community | onboarding","foundation","Para | EGGS ecosystem","PPR-03 | PPR-05 | PID-05","batch.strategy-documents","Dated product-strategy source; not creative canon."
"artifact.mekan-unclassified","Mekan Temple Dragon Reference","image","big_dumb_temple_dragon.webp","Archive/Art/mekan/Places/big_dumb_temple_dragon.webp","archive-file","","","unknown-needs-review","","","unclassified","intake","unknown-provenance","","","","CIV-06 | PRV-01","batch.visual-sample","Intentionally incomplete seed demonstrating batch-tagging queues."
"artifact.morphlings-source","Morphlings and Astral Vanguards","prose","what are morphlings.txt","Archive/Prose/what are morphlings.txt","internal-file","","","owned-internal","","","strong-direction","rewrite-queued","term-overload | duplicate-formulation","morphlings | convergences | astral-vanguards","morphlings | astral-vanguards | zynarth-voltari | voltari-zendra | zynarth-zendra","EGGS ecosystem","MOR-01 | MOR-04 | AVG-01","batch.foundation-prose","Abstract convergence logic and embodied Morphlings need separation."
"artifact.rumin-source","What Are Rumin","prose","what are rumin.txt","Archive/Prose/what are rumin.txt","internal-file","","","owned-internal","","","flexible-inspiration","rewrite-queued","historical-transcription","rumin | mortal-expression | procedural-appetite","rumin","Reath","CIV-02 | HIS-01","batch.civilization-prose","Preserve concept kernel; transform direct Roman parallels."
